CustomerKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,Age,LastToPresent,CountOrder,TotalAmount,Education,Occupation
11000,1,1,90000,2,42,270,8,8248.99,3,3
11001,0,1,60000,3,37,49,11,6383.879999999999,3,3
11002,1,1,60000,3,42,339,4,8114.04,3,3
11003,0,0,70000,0,40,263,9,8139.29,3,3
11004,0,0,80000,5,34,272,6,8196.01,3,3
11005,0,1,70000,0,37,271,6,8121.33,3,3
11006,0,0,70000,0,37,259,5,8119.03,3,3
11007,1,1,60000,3,44,315,8,8211.0,3,3
11008,0,0,60000,4,38,332,7,8106.3099999999995,3,3
11009,0,1,70000,0,44,264,5,8091.33,3,3
11010,0,0,70000,0,44,250,4,8088.04,3,3
11011,1,1,60000,4,44,315,4,8133.04,3,3
11012,1,0,100000,2,35,105,5,81.26,3,1
11013,1,1,100000,2,34,7,5,113.96000000000001,3,1
11014,0,0,100000,3,40,273,6,138.45000000000002,3,1
11015,0,0,30000,0,29,375,3,2500.97,2,4
11016,1,1,30000,0,29,353,3,2332.2799999999997,2,4
11017,0,0,20000,4,64,106,4,6434.3099999999995,1,4
11018,0,1,30000,2,58,96,7,6533.28,2,0
11019,0,1,40000,0,30,16,33,882.7,1,4
11020,0,1,40000,0,29,395,2,2316.97,1,4
11021,0,0,40000,0,29,370,3,2371.9599999999996,2,4
11022,1,1,40000,0,29,373,2,2322.2799999999997,2,4
11023,1,1,40000,0,29,14,6,122.24,2,4
11024,1,1,60000,0,29,186,6,56.510000000000005,2,4
11025,1,1,10000,2,62,95,6,6576.799999999999,0,0
11026,0,1,30000,2,62,105,7,6575.79,2,0
11027,1,1,30000,2,61,96,9,6591.57,2,0
11028,1,0,30000,2,62,113,5,6474.62,2,0
11029,1,1,30000,2,61,78,7,6565.29,2,0
11030,1,0,10000,2,55,80,4,6471.32,0,0
11031,1,0,20000,4,60,76,6,6478.599999999999,1,4
11032,1,0,20000,4,61,81,10,6525.5599999999995,1,4
11033,1,1,20000,4,55,84,7,6495.29,1,4
11034,1,0,20000,4,61,79,4,6491.32,1,4
11035,1,0,10000,2,60,74,5,6451.3099999999995,0,0
11036,1,0,60000,0,29,371,2,2354.9799999999996,2,4
11037,0,0,40000,0,30,373,7,2374.2299999999996,0,0
11038,1,0,10000,2,60,77,3,6437.33,0,0
11039,1,1,30000,3,59,78,9,6636.58,2,0
11040,1,1,30000,0,31,300,3,2350.9599999999996,2,4
11041,1,0,60000,0,30,379,3,2380.47,2,4
11042,1,0,70000,0,31,103,3,3112.33,2,4
